Feature,Importance
person_age,0.04417548876386514
person_income,0.13989815088779914
person_emp_length,0.06347731119419518
loan_amnt,0.0734372671745566
loan_int_rate,0.10907362612117186
loan_percent_income,0.22082349870311205
cb_person_cred_hist_length,0.03397955684650701
person_home_ownership_MORTGAGE,0.029581668876175096
person_home_ownership_OTHER,0.0008194295884362475
person_home_ownership_OWN,0.019980463347037108
person_home_ownership_RENT,0.056572364364086664
loan_intent_DEBTCONSOLIDATION,0.022876952850259834
loan_intent_EDUCATION,0.010702227361805636
loan_intent_HOMEIMPROVEMENT,0.012533450840239378
loan_intent_MEDICAL,0.021145756001455903
loan_intent_PERSONAL,0.008932748505109793
loan_intent_VENTURE,0.008973046135317684
loan_grade_A,0.009036974829844552
loan_grade_B,0.004842813745304397
loan_grade_C,0.01888193343620296
loan_grade_D,0.05728254958743343
loan_grade_E,0.012611312557939286
loan_grade_F,0.004317353099186881
loan_grade_G,0.002199813932840238
cb_person_default_on_file_N,0.008118429382866318
cb_person_default_on_file_Y,0.005725811867251632
